code;core;country;name
ABT;ABT;CAN;ALBERTA DOWNS
AIK;AIK;USA;AIKEN
AJX;AJX;CAN;AJAX DOWNS
AKS;AKS;USA;AK-SAR-BEN
ALB;ALB;USA;ALBUQUERQUE
ANF;ANF;USA;ANTHONY DOWNS
AP ;AP ;USA;ARLINGTON
AQU;AQU;USA;AQUEDUCT
ARP;ARP;USA;ARAPAHOE PARK
ASD;ASD;CAN;ASSINIBOIA DOWNS
ATH;ATH;USA;ATLANTA
ATL;ATL;USA;ATLANTIC CITY
ATO;ATO;USA;ATOKAD DOWNS
AVN;AVN;USA;AVON
BCF;BCF;USA;BROWN COUNTY FAIR
BEL;BEL;USA;BELMONT PARK
BEU;BEU;USA;BEULAH PARK
BF ;BF ;USA;BROCKTON FAIR
BGD;BGD;USA;BLUE GRASS DOWNS
BHP;HOL;USA;BETFAIR HOLLYWOOD PARK
BIR;BIR;USA;BIRMINGHAM TURF CLUB
BKF;BKF;USA;BLACK FOOT
BM ;BM ;USA;BAY MEADOWS
BMF;BMF;USA;BAY MEADOWS FAIR
BND;BND;USA;BANDERA DOWNS
BOI;BOI;USA;LES BOIS PARK
BOW;BOW;USA;BOWIE
BRD;BRD;USA;BLUE RIBBON DOWNS
BRN;BRN;USA;HARNEY COUNTY FAIR
BRO;BRO;USA;BROOKHILL FARM
BSR;FPX;USA;BARRETTS RACE MEET AT FAIRPLEX
BTP;BTP;USA;BELTERRA PARK
CAM;CAM;USA;CAMDEN
CAS;CAS;USA;CASSIA COUNTY FAIR
CBY;CBY;USA;CANTERBURY PARK
CD ;CD ;USA;CHURCHILL DOWNS
CHA;CHA;USA;CHARLESTON
CHL;CHL;USA;CHARLOTTE
CLG;CLG;CAN;TROUT SPRINGS TRAINING CENTER
CLM;CLM;USA;CLEMMONS
CLS;CLS;USA;COLUMBUS
CMR;CMR;PR ;CAMARERO RACE TRACK
CNL;CNL;USA;COLONIAL DOWNS
CPW;CPW;USA;CHIPPEWA DOWNS
CRC;CRC;USA;CALDER RACE COURSE
CT ;CT ;USA;HOLLYWOOD CASINO AT CHARLES TOWN RACES
CWF;CWF;USA;CENTRAL WYOMING FAIR
DAY;DAY;USA;DAYTON
DED;DED;USA;DELTA DOWNS
DEL;DEL;USA;DELAWARE PARK
DEP;DEP;CAN;DESERT PARK
DET;DET;USA;DETROIT RACE COURSE
DG ;DG ;USA;COCHISE COUNTY FAIR @ DOUGLAS
DIX;DIX;USA;DIXIE DOWNS
DMR;DMR;USA;DEL MAR
DUE;DUE;USA;DUELING GROUNDS
DUN;DUN;USA;GREENELEE COUNTY FAIR @ DUNCAN
DXD;DXD;USA;DIXIE DOWNS
ED ;ED ;USA;ENERGY DOWNS
ELC;ELC;PR ;EL COMANDANTE
ELK;ELK;USA;ELKO COUNTY FAIR
ELP;ELP;USA;ELLIS PARK
ELY;ELY;USA;WHITE PINE RACING
EMD;EMD;USA;EMERALD DOWNS
EMT;EMT;USA;EMMETT
EP ;EP ;CAN;EXHIBITION PARK
EUR;EUR;USA;EUREKA
EVD;EVD;USA;EVANGELINE DOWNS
FAI;FAI;USA;FAIR HILL
FAR;FAR;USA;NORTH DAKOTA HORSE PARK
FAX;FAX;USA;FAIRFAX
FE ;FE ;CAN;FORT ERIE
FER;FER;USA;FERNDALE
FG ;FG ;USA;FAIR GROUNDS
FH ;FH ;USA;FAR HILLS
FL ;FL ;USA;FINGER LAKES
FLG;FLG;USA;FLAGSTAFF
FMT;FMT;USA;FAIR MEADOWS
FNO;FNO;USA;FRESNO
FON;FON;USA;FONNER PARK
FP ;FP ;USA;FAIRMOUNT PARK
FPL;FPL;USA;FAIR PLAY PARK
FPX;FPX;USA;FAIRPLEX PARK
FTP;FTP;USA;FORT PIERRE
FX ;FX ;USA;FOXFIELD
GBF;GBF;USA;GREAT BARRINGTON FAIR
GCF;GCF;USA;GILA COUNTY FAIR
GF ;GF ;USA;GREAT FALLS
GG ;GG ;USA;GOLDEN GATE FIELDS
GIL;GIL;USA;GILLESPIE COUNTY FAIRGROUND
GLD;GLD;USA;GREAT LAKES DOWNS
GLN;GLN;USA;GLYNDON
GN ;GN ;USA;GRAND NATIONAL
GP ;GP ;USA;GULFSTREAM PARK
GPR;GPR;CAN;GRANDE PRAIRIE
GPW;CRC;USA;GULFSTREAM PARK WEST
GRD;GRD;CAN;GREENWOOD
GRM;GRM;USA;GREAT MEADOW
GRP;GRP;USA;GRANTS PASS
GS ;GS ;USA;GARDEN STATE PARK
GV ;GV ;USA;GENESEE VALLEY
HAP;HAP;USA;HARBOR PARK
HAW;HAW;USA;HAWTHORNE
HCF;HCF;USA;HUMBOLDT COUNTY FAIR
HIA;HIA;USA;HIALEAH PARK
HLN;HLN;USA;HELENA DOWNS
HOL;HOL;USA;HOLLYWOOD PARK
HOO;HOO;USA;HOOSIER PARK
HOU;HOU;USA;SAM HOUSTON RACE PARK
HP ;HP ;USA;HAZEL PARK
HPO;HPO;USA;HORSEMEN'S PARK
HST;HST;CAN;HASTINGS RACECOURSE
IND;IND;USA;INDIANA GRAND RACE COURSE
JND;JND;USA;JEFFERSON DOWNS
JRM;JRM;USA;JEROME COUNTY FAIR
KAM;KAM;CAN;KAMLOOPS
KD ;KD ;USA;KENTUCKY DOWNS
KEE;KEE;USA;KEENELAND
KIN;KIN;CAN;KIN PARK
KLF;KLF;USA;KLAMATH COUNTY FAIR
KSP;KSP;USA;KALISPELL
LA ;LA ;USA;LOS ALAMITOS
LAD;LAD;USA;LOUISIANA DOWNS
LAM;LAM;USA;LA MESA PARK
LBG;LBG;CAN;LETHBRIDGE
LBT;LBT;USA;LAUREL BROWN RACETRACK
LEV;LEV;USA;LITTLE EVERGLADES
LEX;LEX;USA;LEXINGTON
LGA;LGA;USA;LONGACRES
LNN;LNN;USA;LINCOLN RACE COURSE
LRC;LRC;USA;LOS ALAMITOS RACE COURSE
LRL;LRL;USA;LAUREL PARK
LS ;LS ;USA;LONE STAR PARK
MAF;MAF;USA;MARIAS FAIR
MAL;MAL;USA;MALVERN
MAN;MAN;USA;MANOR DOWNS
MAR;MAR;USA;MARLBORO
MAS;MAS;USA;MASON-DIXON
MC ;MC ;USA;MILES CITY
MD ;MD ;CAN;MARQUIS DOWNS
MDA;MDA;CAN;MELVILLE DISTRICT AGRIPAR
MED;MED;USA;MEADOWLANDS
MEP;MEP;USA;METRAPARK
MF ;MF ;USA;MARSHFIELD FAIR
MGO;MGO;USA;MARENGO PLANTATION
MID;MID;USA;GLENWOOD PARK AT MIDDLEBURG
MIL;MIL;CAN;MILLARVILLE
MLO;MLO;CAN;MILO RACE TRACK
MNR;MNR;USA;MOUNTAINEER CASINO RACETRACK & RESORT
MOF;MOF;USA;MOHAVE COUNTY FAIR
MON;MON;USA;MONKTON
MOR;MOR;USA;MORVEN PARK
MPM;MPM;USA;MT. PLEASANT MEADOWS
MS ;MS ;USA;MILL SPRING
MTH;MTH;USA;MONMOUTH PARK
MTP;MTP;USA;MONTPELIER
MVR;MVR;USA;MAHONING VALLEY RACE COURSE
NMP;NMP;USA;NORTHAMPTON
NP ;NP ;CAN;NORTHLANDS PARK
NS0;NS0;USA;KENTUCKY DOWNS NSA
NVD;NVD;USA;NORTHVILLE DOWNS
OKR;OKR;USA;OAK RIDGE
ONE;ONE;USA;ONEIDA COUNTY FAIR
OP ;OP ;USA;OAKLAWN PARK
OSA;SA ;USA;OAK TREE AT SANTA ANITA
OTC;OTC;USA;OCALA TRAINING CENTER
OTH;HOL;USA;OAK TREE AT HOLLYWOOD PARK
OTP;PLN;USA;OAK TREE AT PLEASANTON
OXM;OXM;USA;OXMOOR
PEN;PEN;USA;PENN NATIONAL
PHA;PHA;USA;PHILADELPHA PARK
PIC;PIC;CAN;PICOV DOWNS
PID;PID;USA;PRESQUE ISLE DOWNS
PIM;PIM;USA;PIMLICO
PLA;PLA;USA;PLAYFAIR
PLN;PLN;USA;PLEASANTON
PM ;PM ;USA;PORTLAND MEADOWS
PMB;PMB;USA;PALM BEACH POLO CLUB
PMT;PMT;USA;PINE MTN-CALLAWAY GARDEN
PNL;PNL;USA;PINNACLE RACE COURSE
POD;POD;USA;POCATELLO DOWNS
PPK;PPK;USA;POMPANO PARK
PPM;PPM;USA;PIKES PEAK MEADOWS
PRE;PRE;USA;PRESCOTT DOWNS
PRM;PRM;USA;PRAIRIE MEADOWS
PRO;PRO;USA;PROSPECT
PRP;PRP;USA;PIT RUN PARK
PRV;PRV;USA;CROOKED RIVER ROUNDUP
PRX;PHA;USA;PARX RACING
PW ;PW ;USA;PERCY WARNER
QD ;QD ;USA;QUEEN CITY DOWNS (QH TRACK)
RAV;RAV;USA;RAVALLI COUNTY FAIR
RB ;RB ;USA;RED BANK
RD ;RD ;USA;RIVER DOWNS
RDA;RDA;CAN;WESTERNER EXH. ASSOC.
RDM;RDM;USA;RED MILE
RDP;RDP;CAN;RED DEER PARK
RET;RET;USA;RETAMA PARK
RIL;RIL;USA;RILLITO
